"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","23/1395","81/9390",0.283950617283951,1.91132350988982,3.44073406901971,0.00122298017001316,0.0102312731296222,0.00775548400496147,"1571/7363/1807/51733/1548/4830/1549/7365/3614/6241/9/1576/2946/2949/2939/7364/8824/1066/54575/79799/2938/4353/7498",23
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","8/1395","17/9390",0.470588235294118,3.16761543327008,3.73641344331648,0.00161234345633624,0.0127373175488753,0.00965510951226696,"570/1582/10998/6718/1109/51302/9420/1593",8
"hsa00910","Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","8/1395","17/9390",0.470588235294118,3.16761543327008,3.73641344331648,0.00161234345633624,0.0127373175488753,0.00965510951226696,"1373/768/763/766/762/771/760/759",8
"hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","14/1395","41/9390",0.341463414634146,2.29845266194597,3.4803507054378,0.00163394160976826,0.0127373175488753,0.00965510951226696,"2906/2904/2563/57030/1137/2903/2568/246213/773/2564/2893/2902/774/2562",14
"hsa00330","Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","16/1395","50/9390",0.32,2.15397849462366,3.41740789795454,0.00170898866286657,0.0130262913636274,0.00987415671878465,"383/112817/8659/65263/1160/283208/54498/2628/2593/84735/5831/4846/1152/26/4128/1159",16
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","46/1395","203/9390",0.226600985221675,1.52529265321256,3.16045802589632,0.00181127173237992,0.0135057870479633,0.0102376228351908,"7448/6696/4233/1311/7058/3381/1277/595/1282/87/7422/3673/3695/2335/8516/596/284217/1278/824/22801/3082/5159/2277/5228/3696/1284/80310/1299/5155/29780/5579/1288/5602/3918/1101/1285/25759/1293/7148/1287/5582/1280/256076/7143/10398/2321",46
"hsa04975","Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","14/1395","43/9390",0.325581395348837,2.19154788697174,3.27112504802207,0.00272301162194458,0.0198721911984466,0.0150634685469275,"335/338/84649/29881/4547/1056/64240/64241/337/80168/2169/2168/8399/84647",14
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","25/1395","97/9390",0.257731958762887,1.73484092672653,3.03870663440712,0.00334805243715274,0.023924624707154,0.0181352840345773,"2906/2904/111/2788/107/5593/2977/815/2903/776/2786/5567/810/5579/2893/55811/6263/5332/23236/117/2902/51764/5582/4543/3765",25
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","43/1395","193/9390",0.22279792746114,1.4996935762438,2.92985998935436,0.00350262392419966,0.0245183674693977,0.0185853514345288,"3576/6372/2920/1237/2185/111/6360/6373/2788/107/6368/2826/6359/2921/2786/6352/2919/6374/5567/2268/3577/3579/6011/3627/6362/4283/56477/5579/25759/5332/9547/10803/23236/6351/6369/6348/414062/9560/10344/51764/6355/6361/10563",43
"hsa04614","Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","9/1395","23/9390",0.391304347826087,2.63394109396914,3.27708414412368,0.00390955166848619,0.0261089363842083,0.0197910304953183,"183/2028/1215/290/1359/4311/1511/185/4142",9
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","9/1395","23/9390",0.391304347826087,2.63394109396914,3.27708414412368,0.00390955166848619,0.0261089363842083,0.0197910304953183,"10991/27165/762/760/477/482/8671/486/6550",9
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","21/1395","78/9390",0.269230769230769,1.81224152191894,3.0088361887036,0.00395820609906365,0.0261089363842083,0.0197910304953183,"3576/727/722/6372/718/725/721/720/717/840/3552/51561/3569/3553/710/6374/810/715/5602/716/729238",21
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","14/1395","45/9390",0.311111111111111,2.09414575866189,3.07311862361877,0.00434695915506855,0.0278861344574201,0.0211381777228257,"1244/64240/64241/9429/23461/225/5244/10060/6833/10349/10351/5243/340273/154664",14
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","6/1395","12/9390",0.5,3.36559139784946,3.4250173859508,0.00439023691166381,0.0278861344574201,0.0211381777228257,"432/10332/81607/4684/1134/30835",6
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","39/1395","174/9390",0.224137931034483,1.50871338524286,2.82920290482264,0.00472503846719105,0.0294670580772096,0.0223365454812668,"4316/147111/8840/27123/7472/595/4609/7473/8061/6424/84133/85409/8549/6932/85407/815/54894/11197/7482/7481/340419/51176/22943/5567/11211/2487/284654/8313/5579/7479/5602/1501/5332/23236/6422/8326/5176/5582/147495",39
"hsa00360","Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","7/1395","16/9390",0.4375,2.94489247311828,3.25222550674835,0.00524827360705565,0.0315968987799203,0.0239510019906101,"3242/5053/6898/4282/259307/222/4128",7
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","24/1395","95/9390",0.252631578947368,1.70050933786078,2.86641173885627,0.00525079659024915,0.0315968987799203,0.0239510019906101,"3576/1051/225689/3326/6372/2920/8061/4312/7188/4314/6280/4318/6279/3569/3553/2921/2919/6374/3627/5602/1440/5743/6361/2354",24
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","20/1395","75/9390",0.266666666666667,1.79498207885305,2.88724793837469,0.00545613237806765,0.0321216452102852,0.0243487689640646,"6906/432/213/433/7276/7038/111/107/477/482/5567/486/493869/5579/84699/7253/5332/23236/7173/5582",20
"hsa00100","Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","8/1395","20/9390",0.4,2.69247311827957,3.16486012913661,0.00552529757261466,0.0321216452102852,0.0243487689640646,"1056/1717/6713/1594/1591/51478/6307/7108",8
"hsa00380","Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","13/1395","42/9390",0.30952380952381,2.08346134152586,2.93945118758748,0.00619094136640751,0.0353915481446296,0.0268274125877659,"64577/6999/316/130013/8942/259307/51166/1545/26/4128/11185/7166/3620",13
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","46/1395","217/9390",0.211981566820276,1.42688667558595,2.65750633727534,0.00693079791924857,0.0389215106293349,0.0295031858997874,"7363/253152/595/4609/3326/1869/990/2100/111/7365/7422/1555/3838/9314/596/107/1137/1978/7421/1576/54852/85315/993/776/332/8817/2946/2949/2939/7364/1545/5567/773/153/367/6258/5579/54575/84699/79799/2938/2254/774/79852/9970/5582",46
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","15/1395","52/9390",0.288461538461538,1.94168734491315,2.84425814480472,0.00703537509918007,0.0389215106293349,0.0295031858997874,"4143/635/191/29968/6898/1036/23743/27232/23382/7263/259307/26227/875/10993/102724560",15
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","26/1395","108/9390",0.240740740740741,1.62046993229789,2.70893993524062,0.00742239206129071,0.0404108012225828,0.0306320942211998,"3624/7036/57817/3626/7018/83729/4609/3625/60436/654/5933/1030/650/1875/653/10468/655/2615/7042/64388/8646/7043/4838/130399/268/56963",26
"hsa00590","Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","17/1395","63/9390",0.26984126984127,1.81635091312511,2.71558692209692,0.0088059284301203,0.0470954431451138,0.03569916973099,"1571/1558/1559/4051/1555/54979/123745/3248/11145/27306/1557/8529/11283/5743/8399/84647/5742",17
"hsa00591","Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","10/1395","30/9390",0.333333333333333,2.24372759856631,2.849938667415,0.00892479243274751,0.0470954431451138,0.03569916973099,"1571/1558/1559/54979/123745/1576/11145/1557/8399/84647",10
"hsa00920","Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","5/1395","10/9390",0.5,3.36559139784946,3.12626545968611,0.00943430099252614,0.0490222437105668,0.0371597182645696,"23474/58472/8991/9060/7263",5
"hsa04727","Organismal Systems","Nervous system","hsa04727","GABAergic synapse","22/1395","89/9390",0.247191011235955,1.66388788208288,2.62852711848683,0.00957577355279294,0.0490222437105668,0.0371597182645696,"10991/6529/111/27165/2563/2788/107/776/2571/2568/92745/2786/5567/773/2564/6539/5579/18/774/51764/2562/5582",22
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","25/1395","105/9390",0.238095238095238,1.60266257040451,2.59397301812452,0.00987085060531559,0.0497897317297536,0.0377414876085596,"6641/183/59283/111/6547/3673/3695/8516/284217/107/7137/22801/782/776/3696/5567/8082/27092/153/7042/489/7139/7043/6445/102723407",25
